"Name","Party","Distid","NRA.Direct.Support","NRA.Independent.Support","NRA.Independent.Opposition","NRA.Indep.Expend.for.Opponent","NRA.Indep.Expend.against.opponent","NRA.Grand.Total","Rank","chamber","state","NRA.Grand.Total.Supporting","NRA.Grand.Total.Opposing","2017 Death Rate (per 100k people)","2017 Total Deaths","2016 Death Rate","2016 Total Deaths"
"ROMNEY, MITT","R","UTS1",0,3278632,"$0",3289,10369044,13644387,1,"Senate","Utah",13691980,-10956,14,410,12.9,370
"BURR, RICHARD","R","NCS2",43900,1356247,"$0",0,5587233,6987380,2,"Senate","North Carolina",11789724,-898,13.7,1430,13.7,1409
"BLUNT, ROY","R","MOS1",82450,1410401,"$0",0,3062871,4555722,3,"Senate","Missouri",6143256,-933,21.5,1307,19,1144
"TILLIS, THOM","R","NCS1",18300,1961654,"$0",821,2447279,4426412,4,"Senate","North Carolina",11789724,-898,13.7,1430,13.7,1409
"GARDNER, CORY","R","COS2",11950,1225129,"$59,935",0,2708120,3885264,5,"Senate","Colorado",4865120,-935216,13.4,779,14.3,812
"RUBIO, MARCO","R","FLS2",4950,1008030,"$0",0,2290375,3303355,6,"Senate","Florida",3542202,-111412,12.4,2724,12.6,2704
"ERNST, JONI","R","IAS2",9900,322084,"$0",500,2792789,3124273,7,"Senate","Iowa",3410355,-148999,9,293,9.2,288
"PORTMAN, ROB","R","OHS2",20300,1453432,"$0",0,1589595,3063327,8,"Senate","Ohio",3569434,-1156830,13.7,1589,12.9,1524
"YOUNG, TODD","R","INS2",9450,440645,"$0",850,2447487,2896732,9,"Senate","Indiana",4245190,-864,15.3,1016,15,997
"CASSIDY, BILL","R","LAS1",11450,409201,"$0",6027,2447423,2862047,10,"Senate","Louisiana",3142993,-12536,21.7,1008,21.3,987
"PERDUE, DAVID","R","GAS1",9900,350904,"$0",11739,1641658,1990723,11,"Senate","Georgia",2144458,-1635,15.4,1623,15,1571
"COTTON, TOM","R","ARS1",9900,1958814,"$0",0,0,1968714,12,"Senate","Arkansas",3182795,0,20.3,613,17.8,541
"ROBERTS, PAT","R","KSS1",40700,663384,"$0",0,877069,1581153,13,"Senate","Kansas",1712474,-13388,16,466,13.4,383
"TOOMEY, PAT","R","PAS1",27250,889130,"$1,266",0,559068,1474182,14,"Senate","Pennsylvania",1799798,-386266,12.5,1636,12,1555
"HAWLEY, JOSH","R","MOS2",9900,714680,"$0",0,666968,1391548,15,"Senate","Missouri",6143256,-933,21.5,1307,19,1144
"BLACKBURN, MARSHA","R","TNS1",45050,642404,"$0",0,618676,1306130,16,"Senate","Tennessee",1372506,0,18.4,1246,17.1,1148
"MCCONNELL, MITCH","R","KYS1",64700,771175,"$315",0,441814,1277374,17,"Senate","Kentucky",1504727,-4018,16.2,730,17.5,772
"JOHNSON, RON","R","WIS2",13400,1001773,"$0",0,254313,1269486,18,"Senate","Wisconsin",1385505,-771863,10.6,624,11.4,664
"BRAUN, MIKE","R","INS1",5200,169436,"$0",0,1075331,1249967,19,"Senate","Indiana",4245190,-864,15.3,1016,15,997
"HILL, FRENCH","R","AR02",9000,541819,"$0",0,546929,1097748,20,"House","Arkansas",3182795,0,20.3,613,17.8,541
"BUCK, KEN","R","CO04",9950,791802,"$0",0,37771,839523,21,"House","Colorado",4865120,-935216,13.4,779,14.3,812
"THUNE, JOHN","R","SDS1",59055,579134,"$0",0,753,638942,22,"Senate","South Dakota",750978,0,11.9,101,13.4,108
"SIMPSON, MIKE","R","ID02",44750,342720,"$0",0,739,388209,23,"House","Idaho",465098,0,16.4,280,14.6,242
"GIANFORTE, GREG","R","MT01",3000,87396,"$0",0,271621,362017,24,"House","Montana",489678,-734499,22.5,244,18.9,194
