"state","Name","NRA.Grand.Total","Party"
"Utah","ROMNEY, MITT",13644387,"R"
"North Carolina","BURR, RICHARD",6987380,"R"
"Missouri","BLUNT, ROY",4555722,"R"
"North Carolina","TILLIS, THOM",4426412,"R"
"Colorado","GARDNER, CORY",3885264,"R"
"Florida","RUBIO, MARCO",3303355,"R"
"Iowa","ERNST, JONI",3124273,"R"
"Ohio","PORTMAN, ROB",3063327,"R"
"Indiana","YOUNG, TODD",2896732,"R"
"Louisiana","CASSIDY, BILL",2862047,"R"
"Georgia","PERDUE, DAVID",1990723,"R"
"Arkansas","COTTON, TOM",1968714,"R"
"Kansas","ROBERTS, PAT",1581153,"R"
"Pennsylvania","TOOMEY, PAT",1474182,"R"
"Missouri","HAWLEY, JOSH",1391548,"R"
"Tennessee","BLACKBURN, MARSHA",1306130,"R"
"Kentucky","MCCONNELL, MITCH",1277374,"R"
"Wisconsin","JOHNSON, RON",1269486,"R"
"Indiana","BRAUN, MIKE",1249967,"R"
"Arkansas","HILL, FRENCH",1097748,"R"
"Colorado","BUCK, KEN",839523,"R"
"South Dakota","THUNE, JOHN",638942,"R"
"Idaho","SIMPSON, MIKE",388209,"R"
"Montana","GIANFORTE, GREG",362017,"R"
"West Virginia","CAPITO, SHELLEY",335700,"R"
"Arizona","MCSALLY, MARTHA",305853,"R"
"Alabama","SHELBY, RICHARD",258514,"R"
"Alaska","YOUNG, DON",245293,"R"
"Pennsylvania","SMUCKER, LLOYD",227233,"R"
"Iowa","GRASSLEY, CHUCK",222437,"R"
"Louisiana","KENNEDY, JOHN",215788,"R"
"North Carolina","BUDD, TED",214158,"R"
"Minnesota","STAUBER, PETE",202595,"R"
"Texas","CRUZ, TED",176274,"R"
"Alaska","MURKOWSKI, LISA",146262,"R"
"Ohio","CHABOT, STEVE",142938,"R"
"Michigan","WALBERG, TIM",132984,"R"
"Montana","DAINES, STEVEN",127661,"R"
"Mississippi","HYDE-SMITH, CINDY",109547,"R"
"Mississippi","WICKER, ROGER",106360,"R"
"Missouri","GRAVES, SAM",105856,"R"
"Colorado","TIPTON, SCOTT",105545,"R"
"Kentucky","PAUL, RAND",104456,"R"
"South Dakota","ROUNDS, MIKE",95549,"R"
"Washington","BEUTLER, JAIME",95298,"R"
"Arkansas","BOOZMAN, JOHN",82352,"R"
"Arizona","SCHWEIKERT, DAVID",82178,"R"
"Kansas","WATKINS, STEVE",80112,"R"
"Ohio","STIVERS, STEVE",79563,"R"
"Alabama","ADERHOLT, ROBERT",70695,"R"
"Nebraska","SASSE, BEN",68623,"R"
"Texas","CORNYN, JOHN",67585,"R"
"Illinois","DAVIS, RODNEY",67509,"R"
"Virginia","RIGGLEMAN, DENVER",67217,"R"
"Oklahoma","INHOFE, JAMES",66191,"R"
"New York","ZELDIN, LEE",66181,"R"
"New York","KATKO, JOHN",65001,"R"
"Iowa","KING, STEVEN",63645,"R"
"Ohio","JOHNSON, BILL",59977,"R"
"California","CALVERT, KEN",59181,"R"
"Oklahoma","LUCAS, FRANK",58909,"R"
"Illinois","SHIMKUS, JOHN",58010,"R"
"Kentucky","ROGERS, HAL",56063,"R"
"Idaho","CRAPO, MIKE",55039,"R"
"South Carolina","GRAHAM, LINDSEY",54064,"R"
"Washington","RODGERS, CATHY",51220,"R"
"Minnesota","PETERSON, COLLIN",50820,"D"
"Georgia","BISHOP, SANFORD",49602,"D"
"Ohio","LATTA, ROBERT",49255,"R"
"Ohio","JOYCE, DAVID",49045,"R"
"California","MCCARTHY, KEVIN",46840,"R"
"Oregon","WALDEN, GREG",46746,"R"
"Louisiana","SCALISE, STEVE",46700,"R"
"Illinois","BOST, MIKE",46580,"R"
"California","MCCLINTOCK, TOM",45942,"R"
"Missouri","LUETKEMEYER, BLAINE",44509,"R"
"Texas","CARTER, JOHN",43372,"R"
"Wisconsin","GALLAGHER, MIKE",43163,"R"
"North Carolina","MCHENRY, PATRICK",43070,"R"
"North Carolina","HOLDING, GEORGE",42598,"R"
"Kentucky","BARR, ANDY",41142,"R"
"Oklahoma","COLE, TOM",39312,"R"
"Pennsylvania","PERRY, SCOTT",38568,"R"
"Texas","HURD, WILL",38308,"R"
"Florida","WEBSTER, DANIEL",38096,"R"
"Kansas","MORAN, JERRY",37218,"R"
"Texas","THORNBERRY, MAC",35761,"R"
"Pennsylvania","KELLY, MIKE",35350,"R"
"Texas","BRADY, KEVIN",34903,"R"
"Colorado","LAMBORN, DOUGLAS",34788,"R"
"Nebraska","BACON, DONALD",34621,"R"
"Ohio","BALDERSON, TROY",34157,"R"
"Alabama","ROGERS, MIKE",33226,"R"
"Florida","DIAZ-BALART, MARIO",33076,"R"
"Georgia","MCBATH, LUCY",32117,"D"
"Texas","CUELLAR, HENRY",31669,"D"
"Florida","MAST, BRIAN",31519,"R"
"Texas","MCCAUL, MICHAEL",31087,"R"
"Virginia","WITTMAN, ROB",28221,"R"
"Maryland","HARRIS, ANDY",27447,"R"
"Indiana","WALORSKI, JACKIE",27428,"R"
"Wyoming","BARRASSO, JOHN",26989,"R"
"Ohio","TURNER, MICHAEL",26390,"R"
"Wisconsin","SENSENBRENNER, JIM",26207,"R"
"California","NUNES, DEVIN",25550,"R"
"Minnesota","HAGEDORN, JIM",25513,"R"
"North Carolina","FOXX, VIRGINIA",25078,"R"
"West Virginia","MOONEY, ALEX",24855,"R"
"Ohio","RYAN, TIM",24805,"D"
"Wyoming","ENZI, MIKE",24722,"R"
"Utah","BISHOP, ROB",24302,"R"
