state,Party,NRA.total
Alabama,D,-74830
Alabama,R,399197
Alaska,R,396505
Arizona,D,-319855
Arizona,R,425062
Arkansas,R,3182795
California,D,-285808
California,R,214295
Colorado,D,-935216
Colorado,R,4865120
Connecticut,D,-181011
Delaware,D,-97616
Florida,D,-95312
Florida,R,3526102
Georgia,D,80084
Georgia,R,2062739
Hawaii,D,-743
Idaho,R,465098
Illinois,D,-70457
Illinois,R,189674
Indiana,D,-864
Indiana,R,4245190
Iowa,D,-148999
Iowa,R,3410355
Kansas,D,-13388
Kansas,R,1712474
Kentucky,D,-4018
Kentucky,R,1504727
Louisiana,D,0
Louisiana,R,3130457
Maine,D,-35622
Maine,I,-145174
Maine,R,18099
Maryland,D,-6614
Maryland,R,27447
Massachusetts,D,-41184
Michigan,D,-984050
Michigan,I,1000
Michigan,R,185994
Minnesota,D,-141072
Minnesota,R,235478
Mississippi,D,-640
Mississippi,R,228109
Missouri,D,-933
Missouri,R,6143256
Montana,D,-734499
Montana,R,489678
Nebraska,R,163310
Nevada,D,-2712765
Nevada,R,22682
New Hampshire,D,-734351
New Jersey,D,-73405
New Jersey,R,0
New Mexico,D,-78756
New York,D,-145700
New York,R,167473
North Carolina,D,-898
North Carolina,R,11789724
North Dakota,R,39827
Ohio,D,-1132025
Ohio,R,3544629
Oklahoma,D,-5904
Oklahoma,R,205293
Oregon,D,-99708
Oregon,R,46746
Pennsylvania,D,-356721
Pennsylvania,R,1770253
Rhode Island,D,-1350
South Carolina,D,-11398
South Carolina,R,130965
South Dakota,R,750978
Tennessee,D,201
Tennessee,R,1372305
Texas,D,-126340
Texas,R,619073
Utah,D,-10956
Utah,R,13691980
Vermont,D,8476
Virginia,D,-1290875
Virginia,R,115492
Washington,D,-1001946
Washington,R,152518
West Virginia,D,-459700
West Virginia,R,388360
Wisconsin,D,-761581
Wisconsin,R,1375223
Wyoming,R,57661
